Date,Open,High,Low,Close,Volume
2024-01-02,100.00,103.82,99.50,102.36,852582
2024-01-03,102.36,105.22,101.38,104.24,1575652
2024-01-04,104.24,105.04,101.95,102.21,1596813
2024-01-05,102.21,107.39,99.05,104.99,1964937
2024-01-08,104.99,105.99,104.76,105.70,1583075
2024-01-09,105.70,106.13,105.22,105.99,1053317
2024-01-10,105.99,108.91,104.13,107.25,884344
2024-01-11,107.25,107.97,107.07,107.20,1552693
2024-01-12,107.20,107.55,106.38,106.46,1645371
2024-01-15,106.46,107.44,104.37,105.37,1746754
2024-01-16,105.37,107.16,104.58,106.22,1439384
2024-01-17,106.22,107.32,106.18,106.99,1110726
2024-01-18,106.99,107.12,106.23,106.79,872773
2024-01-19,106.79,108.20,105.85,107.59,1840129
2024-01-22,107.59,109.66,105.95,108.83,1565412
2024-01-23,108.83,109.17,104.15,105.80,1849126
2024-01-24,105.80,106.25,103.74,104.96,1331981
2024-01-25,104.96,105.27,103.18,103.61,1752819
2024-01-26,103.61,106.02,103.27,104.53,1607167
2024-01-29,104.53,106.60,101.74,102.64,1495048
2024-01-30,102.64,103.01,102.51,102.71,1903671
2024-01-31,102.71,103.06,101.33,102.10,1565902
2024-02-01,102.10,105.39,101.27,104.88,1789632
2024-02-02,104.88,104.88,102.78,103.02,1810664
2024-02-05,103.02,105.35,102.16,104.21,1058957
2024-02-06,104.21,104.24,104.19,104.20,1915843
2024-02-07,104.20,104.77,99.63,100.63,1912917
2024-02-08,100.63,101.73,99.80,101.56,985655
2024-02-09,101.56,103.32,97.72,99.01,830374
2024-02-12,99.01,99.76,97.98,98.68,934592
2024-02-13,98.68,98.78,98.07,98.37,1192645
2024-02-14,98.37,99.18,95.03,96.71,874605
2024-02-15,96.71,99.26,93.13,94.20,1894637
2024-02-16,94.20,96.70,89.45,91.39,1430649
2024-02-19,91.39,93.49,89.93,92.51,1676686
2024-02-20,92.51,92.95,90.15,91.08,1852413
2024-02-21,91.08,91.26,90.28,90.61,1229047
2024-02-22,90.61,91.03,90.18,90.24,867180
2024-02-23,90.24,90.72,90.13,90.61,1151634
2024-02-26,90.61,92.54,90.58,92.02,1499214
2024-02-27,92.02,94.81,90.21,93.38,1496701
2024-02-28,93.38,94.65,92.77,93.77,1352112
2024-02-29,93.77,93.93,93.59,93.68,1819418
2024-03-01,93.68,93.96,92.03,92.41,1304397
2024-03-04,92.41,92.82,91.33,91.77,1756244
2024-03-05,91.77,93.00,91.35,92.76,1904598
2024-03-06,92.76,92.85,91.95,92.01,936895
2024-03-07,92.01,92.30,88.91,89.98,1183785
2024-03-08,89.98,93.20,88.04,91.42,1828780
2024-03-11,91.42,92.07,90.91,91.24,1428612
2024-03-12,91.24,91.47,91.13,91.18,1027763
2024-03-13,91.18,91.68,89.93,90.67,1222268
2024-03-14,90.67,90.97,90.63,90.79,843659
2024-03-15,90.79,91.21,90.33,90.41,1490701
2024-03-18,90.41,93.73,89.44,92.99,1335480
2024-03-19,92.99,93.02,92.97,93.00,1359919
2024-03-20,93.00,93.45,91.22,92.12,1664830
2024-03-21,92.12,94.77,91.45,94.19,916886
2024-03-22,94.19,94.71,93.97,94.47,1509837
2024-03-25,94.47,96.54,93.24,95.28,889975
2024-03-26,95.28,96.32,94.67,95.85,1376422
2024-03-27,95.85,95.92,93.89,94.08,1588646
2024-03-28,94.08,94.26,93.64,93.93,1655318
2024-03-29,93.93,95.06,92.09,92.40,1536885
2024-04-01,92.40,92.99,90.55,91.45,1911775
2024-04-02,91.45,91.76,90.39,90.49,1863786
2024-04-03,90.49,92.30,88.19,88.93,1427106
2024-04-04,88.93,90.29,87.98,88.08,1037675
2024-04-05,88.08,88.94,87.55,88.74,1605215
2024-04-08,88.74,90.41,88.60,90.09,935517
2024-04-09,90.09,90.46,89.47,90.43,934791
2024-04-10,90.43,91.11,89.02,89.23,1031469
2024-04-11,89.23,90.30,88.81,89.76,959444
2024-04-12,89.76,92.68,88.27,91.70,1221038
2024-04-15,91.70,92.12,91.62,91.72,826503
2024-04-16,91.72,95.35,91.02,93.74,1802006
2024-04-17,93.74,95.31,93.24,94.47,1789898
2024-04-18,94.47,95.43,93.82,94.76,1165430
2024-04-19,94.76,95.08,92.17,93.44,1371575
2024-04-22,93.44,95.43,92.65,95.11,1669560
2024-04-23,95.11,96.37,95.08,96.26,1211612
2024-04-24,96.26,97.86,95.94,96.93,1009972
2024-04-25,96.93,99.23,95.18,98.23,923524
2024-04-26,98.23,98.57,97.57,98.09,1880588
2024-04-29,98.09,99.41,97.08,98.69,1150740
2024-04-30,98.69,99.02,96.39,97.51,1721726
2024-05-01,97.51,99.27,96.34,98.27,1396517
2024-05-02,98.27,101.01,96.69,99.62,1232028
2024-05-03,99.62,101.70,99.31,100.32,1718738
2024-05-06,100.32,100.62,99.75,100.21,1077891
2024-05-07,100.21,100.48,99.90,100.12,1062555
2024-05-08,100.12,102.52,97.34,97.40,1475557
2024-05-09,97.40,97.47,96.25,96.75,1621268
2024-05-10,96.75,97.07,96.03,97.02,1202900
2024-05-13,97.02,102.91,95.05,99.94,1596667
2024-05-14,99.94,105.79,97.62,104.00,1370191
2024-05-15,104.00,105.19,103.26,104.53,1676716
2024-05-16,104.53,105.45,104.27,105.00,1121776
2024-05-17,105.00,106.64,103.78,106.35,827692
2024-05-20,106.35,107.01,104.76,105.39,1882989
2024-05-21,105.39,106.81,105.32,106.10,956524
2024-05-22,106.10,110.92,103.93,108.60,1500969
2024-05-23,108.60,108.66,108.45,108.46,1631417
2024-05-24,108.46,111.33,101.78,105.26,887095
2024-05-27,105.26,106.11,104.93,105.80,1770969
2024-05-28,105.80,107.36,105.00,106.55,1427897
2024-05-29,106.55,106.92,105.61,106.42,1133241
2024-05-30,106.42,111.19,106.40,108.84,981884
2024-05-31,108.84,109.60,108.21,109.49,1677188
2024-06-03,109.49,109.61,105.05,106.94,1421716
2024-06-04,106.94,107.76,103.88,105.58,1062961
2024-06-05,105.58,105.98,102.09,104.00,1975758
2024-06-06,104.00,106.63,103.66,105.42,1421578
2024-06-07,105.42,105.85,104.65,105.03,1342085
2024-06-10,105.03,105.05,104.91,105.00,1305099
2024-06-11,105.00,106.63,102.23,103.64,1024091
2024-06-12,103.64,104.10,102.01,102.96,1394837
2024-06-13,102.96,103.58,101.86,102.31,1355752
2024-06-14,102.31,103.45,102.07,102.63,1446495
2024-06-17,102.63,104.69,100.12,100.61,1962336
2024-06-18,100.61,101.02,97.93,98.61,1208653
2024-06-19,98.61,100.57,96.59,100.31,1793258
2024-06-20,100.31,105.30,98.37,103.20,1261426
2024-06-21,103.20,103.22,102.75,102.98,1282240
2024-06-24,102.98,105.88,99.39,100.14,1286927
2024-06-25,100.14,101.22,100.11,100.85,1224382
2024-06-26,100.85,103.26,99.83,102.66,1444346
2024-06-27,102.66,102.79,102.55,102.79,1308730
2024-06-28,102.79,106.05,102.34,105.41,1109350
2024-07-01,105.41,105.98,103.40,104.13,1843739
2024-07-02,104.13,104.85,103.51,104.44,957014
2024-07-03,104.44,106.89,101.31,102.40,1918919
2024-07-04,102.40,104.15,102.18,103.10,883066
2024-07-05,103.10,104.83,102.26,104.78,1363866
2024-07-08,104.78,105.01,103.99,104.08,1198422
2024-07-09,104.08,105.77,103.03,103.05,1428923
2024-07-10,103.05,104.22,101.12,101.80,1373327
2024-07-11,101.80,102.23,101.25,101.49,905806
2024-07-12,101.49,105.98,99.91,104.72,1899789
2024-07-15,104.72,105.42,103.30,104.04,1732510
